[TRACE | 2021-01-11 14:03:01,783] | [start:2021-01-11 14:03:01.771]--[end:2021-01-11 14:03:01.777]:{"group_name":"pc","timestamp":"2021-01-09 15:43:35.946","up_info":{"obst_time":"1610178215946","obst_num":"4","obst_list":[{"target_id":"117","confidence":"26","type":"5","centre_pos":{"x":"-6.856","y":"1.918","z":"0.724"},"boundingbox":{"width":"2.693","length":"2.638","height":"1.027"},"speed":{"x":"-0.003","y":"-0.638"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"-6.586","y":"4.023"},{"x":"-8.175","y":"3.264"},{"x":"-6.746","y":"0.271"},{"x":"-5.157","y":"1.030"}]},{"target_id":"145","confidence":"16","type":"5","centre_pos":{"x":"-4.833","y":"-9.864","z":"0.833"},"boundingbox":{"width":"3.112","length":"2.590","height":"0.787"},"speed":{"x":"-2.808","y":"0.004"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"-5.134","y":"-7.788"},{"x":"-6.236","y":"-10.855"},{"x":"-4.472","y":"-11.489"},{"x":"-3.370","y":"-8.421"}]},{"target_id":"965","confidence":"100","type":"5","centre_pos":{"x":"-18.178","y":"-7.253","z":"0.866"},"boundingbox":{"width":"3.129","length":"1.982","height":"1.119"},"speed":{"x":"-2.628","y":"0.264"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"-18.104","y":"-5.390"},{"x":"-19.044","y":"-8.352"},{"x":"-17.202","y":"-8.937"},{"x":"-16.262","y":"-5.975"}]},{"target_id":"150","confidence":"9","type":"5","centre_pos":{"x":"0.006","y":"6.237","z":"1.009"},"boundingbox":{"width":"0.674","length":"5.834","height":"1.134"},"speed":{"x":"-0.039","y":"-0.088"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"2.889","y":"6.745"},{"x":"-2.904","y":"6.152"},{"x":"-2.848","y":"5.604"},{"x":"2.945","y":"6.197"}]}]}}
[TRACE | 2021-01-11 14:03:01,899] | [start:2021-01-11 14:03:01.894]--[end:2021-01-11 14:03:01.899]:{"group_name":"pc","timestamp":"2021-01-09 15:43:36.89","up_info":{"obst_time":"1610178216089","obst_num":"4","obst_list":[{"target_id":"117","confidence":"27","type":"5","centre_pos":{"x":"-6.683","y":"1.602","z":"0.734"},"boundingbox":{"width":"2.509","length":"2.189","height":"1.022"},"speed":{"x":"0.170","y":"-0.874"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"-6.974","y":"3.458"},{"x":"-8.180","y":"2.557"},{"x":"-6.416","y":"0.197"},{"x":"-5.211","y":"1.098"}]},{"target_id":"145","confidence":"17","type":"5","centre_pos":{"x":"-5.199","y":"-9.853","z":"0.819"},"boundingbox":{"width":"3.037","length":"2.571","height":"0.791"},"speed":{"x":"-2.867","y":"0.046"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"-4.545","y":"-7.957"},{"x":"-6.504","y":"-10.722"},{"x":"-5.256","y":"-11.607"},{"x":"-3.296","y":"-8.842"}]},{"target_id":"965","confidence":"100","type":"5","centre_pos":{"x":"-18.371","y":"-7.058","z":"0.626"},"boundingbox":{"width":"2.743","length":"1.312","height":"0.887"},"speed":{"x":"-3.120","y":"0.691"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"-18.925","y":"-5.569"},{"x":"-19.386","y":"-8.208"},{"x":"-18.119","y":"-8.430"},{"x":"-17.658","y":"-5.791"}]},{"target_id":"150","confidence":"9","type":"5","centre_pos":{"x":"0.002","y":"6.228","z":"1.009"},"boundingbox":{"width":"0.674","length":"5.834","height":"1.134"},"speed":{"x":"-0.039","y":"-0.088"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"2.889","y":"6.745"},{"x":"-2.904","y":"6.152"},{"x":"-2.848","y":"5.604"},{"x":"2.945","y":"6.197"}]}]}}
[TRACE | 2021-01-11 14:03:02,017] | [start:2021-01-11 14:03:02.12]--[end:2021-01-11 14:03:02.17]:{"group_name":"pc","timestamp":"2021-01-09 15:43:36.188","up_info":{"obst_time":"1610178216188","obst_num":"3","obst_list":[{"target_id":"117","confidence":"28","type":"5","centre_pos":{"x":"-7.241","y":"1.783","z":"0.735"},"boundingbox":{"width":"3.028","length":"3.223","height":"1.011"},"speed":{"x":"-0.288","y":"-0.522"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"-7.679","y":"4.199"},{"x":"-8.876","y":"3.279"},{"x":"-6.439","y":"0.107"},{"x":"-5.242","y":"1.027"}]},{"target_id":"145","confidence":"18","type":"5","centre_pos":{"x":"-5.421","y":"-9.878","z":"0.842"},"boundingbox":{"width":"3.152","length":"2.671","height":"0.785"},"speed":{"x":"-2.818","y":"-0.003"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"-4.799","y":"-7.945"},{"x":"-6.756","y":"-10.721"},{"x":"-5.358","y":"-11.707"},{"x":"-3.401","y":"-8.931"}]},{"target_id":"965","confidence":"100","type":"5","centre_pos":{"x":"-18.683","y":"-6.989","z":"0.626"},"boundingbox":{"width":"2.743","length":"1.312","height":"0.887"},"speed":{"x":"-3.120","y":"0.691"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"-18.925","y":"-5.569"},{"x":"-19.386","y":"-8.208"},{"x":"-18.119","y":"-8.430"},{"x":"-17.658","y":"-5.791"}]}]}}
[TRACE | 2021-01-11 14:03:02,140] | [start:2021-01-11 14:03:02.133]--[end:2021-01-11 14:03:02.140]:{"group_name":"pc","timestamp":"2021-01-09 15:43:36.288","up_info":{"obst_time":"1610178216288","obst_num":"3","obst_list":[{"target_id":"117","confidence":"29","type":"5","centre_pos":{"x":"-7.198","y":"1.652","z":"0.745"},"boundingbox":{"width":"2.968","length":"3.112","height":"1.014"},"speed":{"x":"-0.255","y":"-0.633"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"-8.653","y":"3.326"},{"x":"-9.472","y":"1.799"},{"x":"-6.190","y":"0.039"},{"x":"-5.371","y":"1.565"}]},{"target_id":"145","confidence":"19","type":"5","centre_pos":{"x":"-5.651","y":"-9.856","z":"0.795"},"boundingbox":{"width":"3.138","length":"2.680","height":"0.844"},"speed":{"x":"-2.794","y":"-0.009"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"-4.965","y":"-7.943"},{"x":"-7.008","y":"-10.756"},{"x":"-5.601","y":"-11.778"},{"x":"-3.558","y":"-8.965"}]},{"target_id":"965","confidence":"100","type":"5","centre_pos":{"x":"-18.995","y":"-6.920","z":"0.626"},"boundingbox":{"width":"2.743","length":"1.312","height":"0.887"},"speed":{"x":"-3.120","y":"0.691"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"-18.925","y":"-5.569"},{"x":"-19.386","y":"-8.208"},{"x":"-18.119","y":"-8.430"},{"x":"-17.658","y":"-5.791"}]}]}}
[TRACE | 2021-01-11 14:03:02,258] | [start:2021-01-11 14:03:02.251]--[end:2021-01-11 14:03:02.257]:{"group_name":"pc","timestamp":"2021-01-09 15:43:36.446","up_info":{"obst_time":"1610178216446","obst_num":"3","obst_list":[{"target_id":"117","confidence":"30","type":"5","centre_pos":{"x":"-7.235","y":"1.564","z":"0.736"},"boundingbox":{"width":"3.006","length":"3.098","height":"0.999"},"speed":{"x":"-0.280","y":"-0.672"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"-7.563","y":"3.941"},{"x":"-8.784","y":"3.068"},{"x":"-6.521","y":"-0.093"},{"x":"-5.300","y":"0.780"}]},{"target_id":"145","confidence":"20","type":"5","centre_pos":{"x":"-5.946","y":"-9.874","z":"0.791"},"boundingbox":{"width":"3.157","length":"2.514","height":"0.869"},"speed":{"x":"-2.792","y":"-0.007"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"-5.096","y":"-8.018"},{"x":"-7.271","y":"-10.635"},{"x":"-5.982","y":"-11.707"},{"x":"-3.807","y":"-9.089"}]},{"target_id":"965","confidence":"100","type":"5","centre_pos":{"x":"-19.307","y":"-6.851","z":"0.626"},"boundingbox":{"width":"2.743","length":"1.312","height":"0.887"},"speed":{"x":"-3.120","y":"0.691"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"-18.925","y":"-5.569"},{"x":"-19.386","y":"-8.208"},{"x":"-18.119","y":"-8.430"},{"x":"-17.658","y":"-5.791"}]}]}}
[TRACE | 2021-01-11 14:03:02,372] | [start:2021-01-11 14:03:02.367]--[end:2021-01-11 14:03:02.372]:{"group_name":"pc","timestamp":"2021-01-09 15:43:36.546","up_info":{"obst_time":"1610178216546","obst_num":"2","obst_list":[{"target_id":"117","confidence":"31","type":"5","centre_pos":{"x":"-7.296","y":"1.457","z":"0.728"},"boundingbox":{"width":"3.077","length":"3.183","height":"1.009"},"speed":{"x":"-0.308","y":"-0.705"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"-7.652","y":"3.892"},{"x":"-8.888","y":"2.996"},{"x":"-6.559","y":"-0.215"},{"x":"-5.323","y":"0.681"}]},{"target_id":"145","confidence":"21","type":"5","centre_pos":{"x":"-6.097","y":"-9.874","z":"0.791"},"boundingbox":{"width":"3.065","length":"2.448","height":"0.826"},"speed":{"x":"-2.711","y":"-0.054"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"-5.394","y":"-7.992"},{"x":"-7.493","y":"-10.674"},{"x":"-6.160","y":"-11.717"},{"x":"-4.062","y":"-9.035"}]}]}}
[TRACE | 2021-01-11 14:03:02,486] | [start:2021-01-11 14:03:02.481]--[end:2021-01-11 14:03:02.486]:{"group_name":"pc","timestamp":"2021-01-09 15:43:36.646","up_info":{"obst_time":"1610178216646","obst_num":"2","obst_list":[{"target_id":"117","confidence":"32","type":"5","centre_pos":{"x":"-7.330","y":"1.405","z":"0.721"},"boundingbox":{"width":"3.013","length":"3.178","height":"1.023"},"speed":{"x":"-0.339","y":"-0.716"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"-7.712","y":"3.798"},{"x":"-8.919","y":"2.912"},{"x":"-6.566","y":"-0.293"},{"x":"-5.359","y":"0.592"}]},{"target_id":"145","confidence":"22","type":"5","centre_pos":{"x":"-6.389","y":"-9.891","z":"0.755"},"boundingbox":{"width":"3.140","length":"2.496","height":"0.851"},"speed":{"x":"-2.708","y":"-0.042"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"-6.334","y":"-7.808"},{"x":"-7.677","y":"-10.781"},{"x":"-6.117","y":"-11.486"},{"x":"-4.774","y":"-8.513"}]}]}}
[TRACE | 2021-01-11 14:03:02,604] | [start:2021-01-11 14:03:02.598]--[end:2021-01-11 14:03:02.604]:{"group_name":"pc","timestamp":"2021-01-09 15:43:36.746","up_info":{"obst_time":"1610178216746","obst_num":"3","obst_list":[{"target_id":"186","confidence":"6","type":"5","centre_pos":{"x":"8.349","y":"-5.178","z":"1.023"},"boundingbox":{"width":"0.644","length":"21.652","height":"0.969"},"speed":{"x":"-1.252","y":"0.102"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"19.167","y":"-4.671"},{"x":"-2.484","y":"-5.028"},{"x":"-2.476","y":"-5.501"},{"x":"19.175","y":"-5.143"}]},{"target_id":"117","confidence":"33","type":"5","centre_pos":{"x":"-7.354","y":"1.310","z":"0.715"},"boundingbox":{"width":"3.055","length":"3.176","height":"1.015"},"speed":{"x":"-0.339","y":"-0.748"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"-8.349","y":"3.482"},{"x":"-9.423","y":"2.315"},{"x":"-6.487","y":"-0.383"},{"x":"-5.414","y":"0.783"}]},{"target_id":"145","confidence":"23","type":"5","centre_pos":{"x":"-6.600","y":"-9.853","z":"0.742"},"boundingbox":{"width":"3.119","length":"2.627","height":"0.842"},"speed":{"x":"-2.683","y":"-0.034"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"-5.604","y":"-8.034"},{"x":"-8.022","y":"-10.556"},{"x":"-6.756","y":"-11.770"},{"x":"-4.337","y":"-9.249"}]}]}}
[TRACE | 2021-01-11 14:03:02,721] | [start:2021-01-11 14:03:02.716]--[end:2021-01-11 14:03:02.721]:{"group_name":"pc","timestamp":"2021-01-09 15:43:36.888","up_info":{"obst_time":"1610178216888","obst_num":"3","obst_list":[{"target_id":"117","confidence":"34","type":"5","centre_pos":{"x":"-7.422","y":"1.116","z":"0.698"},"boundingbox":{"width":"3.088","length":"3.291","height":"0.983"},"speed":{"x":"-0.326","y":"-0.816"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"-8.957","y":"2.857"},{"x":"-9.780","y":"1.395"},{"x":"-6.355","y":"-0.531"},{"x":"-5.532","y":"0.931"}]},{"target_id":"145","confidence":"24","type":"5","centre_pos":{"x":"-6.903","y":"-9.820","z":"0.808"},"boundingbox":{"width":"2.978","length":"2.397","height":"0.732"},"speed":{"x":"-2.706","y":"0.012"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"-6.149","y":"-7.986"},{"x":"-8.229","y":"-10.625"},{"x":"-6.861","y":"-11.704"},{"x":"-4.781","y":"-9.064"}]},{"target_id":"186","confidence":"6","type":"5","centre_pos":{"x":"8.224","y":"-5.168","z":"1.023"},"boundingbox":{"width":"0.644","length":"21.652","height":"0.969"},"speed":{"x":"-1.252","y":"0.102"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"19.167","y":"-4.671"},{"x":"-2.484","y":"-5.028"},{"x":"-2.476","y":"-5.501"},{"x":"19.175","y":"-5.143"}]}]}}
[TRACE | 2021-01-11 14:03:02,833] | [start:2021-01-11 14:03:02.828]--[end:2021-01-11 14:03:02.833]:{"group_name":"pc","timestamp":"2021-01-09 15:43:36.988","up_info":{"obst_time":"1610178216988","obst_num":"3","obst_list":[{"target_id":"117","confidence":"35","type":"5","centre_pos":{"x":"-6.919","y":"0.712","z":"0.704"},"boundingbox":{"width":"2.449","length":"2.125","height":"0.974"},"speed":{"x":"0.083","y":"-1.224"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"-7.982","y":"1.937"},{"x":"-8.718","y":"0.163"},{"x":"-6.359","y":"-0.814"},{"x":"-5.624","y":"0.958"}]},{"target_id":"145","confidence":"25","type":"5","centre_pos":{"x":"-6.886","y":"-9.696","z":"0.689"},"boundingbox":{"width":"2.766","length":"2.436","height":"0.930"},"speed":{"x":"-2.574","y":"-0.016"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"-6.943","y":"-7.879"},{"x":"-8.243","y":"-10.849"},{"x":"-6.739","y":"-11.507"},{"x":"-5.439","y":"-8.537"}]},{"target_id":"186","confidence":"6","type":"5","centre_pos":{"x":"8.098","y":"-5.158","z":"1.023"},"boundingbox":{"width":"0.644","length":"21.652","height":"0.969"},"speed":{"x":"-1.252","y":"0.102"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"19.167","y":"-4.671"},{"x":"-2.484","y":"-5.028"},{"x":"-2.476","y":"-5.501"},{"x":"19.175","y":"-5.143"}]}]}}
[TRACE | 2021-01-11 14:03:02,954] | [start:2021-01-11 14:03:02.948]--[end:2021-01-11 14:03:02.954]:{"group_name":"pc","timestamp":"2021-01-09 15:43:37.88","up_info":{"obst_time":"1610178217088","obst_num":"3","obst_list":[{"target_id":"186","confidence":"7","type":"5","centre_pos":{"x":"7.918","y":"-5.181","z":"1.046"},"boundingbox":{"width":"0.666","length":"22.298","height":"0.966"},"speed":{"x":"-1.781","y":"0.183"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"19.058","y":"-4.615"},{"x":"-3.238","y":"-5.060"},{"x":"-3.229","y":"-5.517"},{"x":"19.067","y":"-5.072"}]},{"target_id":"117","confidence":"36","type":"5","centre_pos":{"x":"-7.456","y":"0.910","z":"0.694"},"boundingbox":{"width":"3.062","length":"3.350","height":"0.963"},"speed":{"x":"-0.350","y":"-0.832"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"-8.434","y":"3.159"},{"x":"-9.533","y":"2.028"},{"x":"-6.637","y":"-0.784"},{"x":"-5.539","y":"0.346"}]},{"target_id":"145","confidence":"26","type":"5","centre_pos":{"x":"-7.292","y":"-9.843","z":"0.781"},"boundingbox":{"width":"2.574","length":"2.750","height":"0.899"},"speed":{"x":"-2.569","y":"-0.008"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"-6.555","y":"-8.038"},{"x":"-8.704","y":"-10.689"},{"x":"-7.387","y":"-11.756"},{"x":"-5.239","y":"-9.105"}]}]}}
