[TRACE | 2021-01-11 14:05:58,369] | [start:2021-01-11 14:05:58.361]--[end:2021-01-11 14:05:58.364]:{"group_name":"pc","timestamp":"2021-01-09 15:40:07.290","up_info":{"obst_time":"1610178007290","obst_num":"2","obst_list":[{"target_id":"531","confidence":"29","type":"5","centre_pos":{"x":"-2.868","y":"-12.491","z":"0.816"},"boundingbox":{"width":"2.234","length":"2.619","height":"0.785"},"speed":{"x":"-4.851","y":"-1.055"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"-1.751","y":"-11.152"},{"x":"-4.552","y":"-11.702"},{"x":"-4.178","y":"-13.608"},{"x":"-1.376","y":"-13.058"}]},{"target_id":"430","confidence":"70","type":"5","centre_pos":{"x":"-19.792","y":"0.419","z":"0.889"},"boundingbox":{"width":"1.987","length":"1.592","height":"0.958"},"speed":{"x":"-2.218","y":"2.523"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"-19.038","y":"1.090"},{"x":"-19.923","y":"0.655"},{"x":"-18.935","y":"-1.353"},{"x":"-18.050","y":"-0.918"}]}]}}
[TRACE | 2021-01-11 14:05:58,474] | [start:2021-01-11 14:05:58.472]--[end:2021-01-11 14:05:58.474]:{"group_name":"pc","timestamp":"2021-01-09 15:40:07.390","up_info":{"obst_time":"1610178007390","obst_num":"2","obst_list":[{"target_id":"531","confidence":"29","type":"5","centre_pos":{"x":"-3.353","y":"-12.597","z":"0.816"},"boundingbox":{"width":"2.234","length":"2.619","height":"0.785"},"speed":{"x":"-4.851","y":"-1.055"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"-1.751","y":"-11.152"},{"x":"-4.552","y":"-11.702"},{"x":"-4.178","y":"-13.608"},{"x":"-1.376","y":"-13.058"}]},{"target_id":"430","confidence":"70","type":"5","centre_pos":{"x":"-20.014","y":"0.671","z":"0.889"},"boundingbox":{"width":"1.987","length":"1.592","height":"0.958"},"speed":{"x":"-2.218","y":"2.523"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"-19.038","y":"1.090"},{"x":"-19.923","y":"0.655"},{"x":"-18.935","y":"-1.353"},{"x":"-18.050","y":"-0.918"}]}]}}
[TRACE | 2021-01-11 14:05:58,602] | [start:2021-01-11 14:05:58.600]--[end:2021-01-11 14:05:58.602]:{"group_name":"pc","timestamp":"2021-01-09 15:40:07.490","up_info":{"obst_time":"1610178007490","obst_num":"2","obst_list":[{"target_id":"531","confidence":"29","type":"5","centre_pos":{"x":"-3.838","y":"-12.702","z":"0.816"},"boundingbox":{"width":"2.234","length":"2.619","height":"0.785"},"speed":{"x":"-4.851","y":"-1.055"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"-1.751","y":"-11.152"},{"x":"-4.552","y":"-11.702"},{"x":"-4.178","y":"-13.608"},{"x":"-1.376","y":"-13.058"}]},{"target_id":"430","confidence":"70","type":"5","centre_pos":{"x":"-20.236","y":"0.923","z":"0.889"},"boundingbox":{"width":"1.987","length":"1.592","height":"0.958"},"speed":{"x":"-2.218","y":"2.523"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"-19.038","y":"1.090"},{"x":"-19.923","y":"0.655"},{"x":"-18.935","y":"-1.353"},{"x":"-18.050","y":"-0.918"}]}]}}
[TRACE | 2021-01-11 14:05:58,724] | [start:2021-01-11 14:05:58.721]--[end:2021-01-11 14:05:58.724]:{"group_name":"pc","timestamp":"2021-01-09 15:40:07.648","up_info":{"obst_time":"1610178007648","obst_num":"1","obst_list":[{"target_id":"531","confidence":"30","type":"5","centre_pos":{"x":"-4.095","y":"-12.106","z":"0.678"},"boundingbox":{"width":"1.892","length":"2.211","height":"0.955"},"speed":{"x":"-5.459","y":"-0.482"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"-4.203","y":"-10.924"},{"x":"-5.200","y":"-12.572"},{"x":"-3.837","y":"-13.397"},{"x":"-2.840","y":"-11.749"}]}]}}
[TRACE | 2021-01-11 14:05:58,852] | [start:2021-01-11 14:05:58.848]--[end:2021-01-11 14:05:58.852]:{"group_name":"pc","timestamp":"2021-01-09 15:40:07.790","up_info":{"obst_time":"1610178007790","obst_num":"1","obst_list":[{"target_id":"531","confidence":"30","type":"5","centre_pos":{"x":"-4.641","y":"-12.155","z":"0.678"},"boundingbox":{"width":"1.892","length":"2.211","height":"0.955"},"speed":{"x":"-5.459","y":"-0.482"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"-4.203","y":"-10.924"},{"x":"-5.200","y":"-12.572"},{"x":"-3.837","y":"-13.397"},{"x":"-2.840","y":"-11.749"}]}]}}
[TRACE | 2021-01-11 14:05:58,973] | [start:2021-01-11 14:05:58.970]--[end:2021-01-11 14:05:58.973]:{"group_name":"pc","timestamp":"2021-01-09 15:40:07.890","up_info":{"obst_time":"1610178007890","obst_num":"1","obst_list":[{"target_id":"531","confidence":"30","type":"5","centre_pos":{"x":"-5.187","y":"-12.203","z":"0.678"},"boundingbox":{"width":"1.892","length":"2.211","height":"0.955"},"speed":{"x":"-5.459","y":"-0.482"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"-4.203","y":"-10.924"},{"x":"-5.200","y":"-12.572"},{"x":"-3.837","y":"-13.397"},{"x":"-2.840","y":"-11.749"}]}]}}
[TRACE | 2021-01-11 14:05:59,095] | [start:2021-01-11 14:05:59.91]--[end:2021-01-11 14:05:59.95]:{"group_name":"pc","timestamp":"2021-01-09 15:40:08.48","up_info":{"obst_time":"1610178008048","obst_num":"2","obst_list":[{"target_id":"612","confidence":"6","type":"5","centre_pos":{"x":"6.415","y":"16.572","z":"1.042"},"boundingbox":{"width":"1.688","length":"3.672","height":"0.964"},"speed":{"x":"0.990","y":"-2.050"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"4.623","y":"17.516"},{"x":"4.497","y":"17.233"},{"x":"8.180","y":"15.593"},{"x":"8.306","y":"15.876"}]},{"target_id":"531","confidence":"30","type":"5","centre_pos":{"x":"-5.733","y":"-12.251","z":"0.678"},"boundingbox":{"width":"1.892","length":"2.211","height":"0.955"},"speed":{"x":"-5.459","y":"-0.482"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"-4.203","y":"-10.924"},{"x":"-5.200","y":"-12.572"},{"x":"-3.837","y":"-13.397"},{"x":"-2.840","y":"-11.749"}]}]}}
[TRACE | 2021-01-11 14:05:59,230] | [start:2021-01-11 14:05:59.226]--[end:2021-01-11 14:05:59.230]:{"group_name":"pc","timestamp":"2021-01-09 15:40:08.147","up_info":{"obst_time":"1610178008147","obst_num":"2","obst_list":[{"target_id":"612","confidence":"6","type":"5","centre_pos":{"x":"6.514","y":"16.367","z":"1.042"},"boundingbox":{"width":"1.688","length":"3.672","height":"0.964"},"speed":{"x":"0.990","y":"-2.050"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"4.623","y":"17.516"},{"x":"4.497","y":"17.233"},{"x":"8.180","y":"15.593"},{"x":"8.306","y":"15.876"}]},{"target_id":"531","confidence":"30","type":"5","centre_pos":{"x":"-6.279","y":"-12.299","z":"0.678"},"boundingbox":{"width":"1.892","length":"2.211","height":"0.955"},"speed":{"x":"-5.459","y":"-0.482"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"-4.203","y":"-10.924"},{"x":"-5.200","y":"-12.572"},{"x":"-3.837","y":"-13.397"},{"x":"-2.840","y":"-11.749"}]}]}}
[TRACE | 2021-01-11 14:05:59,357] | [start:2021-01-11 14:05:59.353]--[end:2021-01-11 14:05:59.357]:{"group_name":"pc","timestamp":"2021-01-09 15:40:08.290","up_info":{"obst_time":"1610178008290","obst_num":"1","obst_list":[{"target_id":"612","confidence":"7","type":"5","centre_pos":{"x":"6.515","y":"16.344","z":"0.988"},"boundingbox":{"width":"1.772","length":"3.633","height":"0.950"},"speed":{"x":"0.972","y":"-2.117"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"5.019","y":"17.931"},{"x":"4.600","y":"17.015"},{"x":"8.263","y":"15.340"},{"x":"8.682","y":"16.256"}]}]}}
[TRACE | 2021-01-11 14:05:59,476] | [start:2021-01-11 14:05:59.472]--[end:2021-01-11 14:05:59.476]:{"group_name":"pc","timestamp":"2021-01-09 15:40:08.390","up_info":{"obst_time":"1610178008390","obst_num":"1","obst_list":[{"target_id":"612","confidence":"8","type":"5","centre_pos":{"x":"6.715","y":"16.361","z":"0.897"},"boundingbox":{"width":"2.088","length":"3.966","height":"0.981"},"speed":{"x":"1.009","y":"-1.855"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"5.132","y":"17.905"},{"x":"4.662","y":"16.976"},{"x":"8.382","y":"15.095"},{"x":"8.851","y":"16.024"}]}]}}
[TRACE | 2021-01-11 14:05:59,593] | [start:2021-01-11 14:05:59.590]--[end:2021-01-11 14:05:59.593]:{"group_name":"pc","timestamp":"2021-01-09 15:40:08.490","up_info":{"obst_time":"1610178008490","obst_num":"1","obst_list":[{"target_id":"612","confidence":"8","type":"5","centre_pos":{"x":"6.816","y":"16.176","z":"0.897"},"boundingbox":{"width":"2.088","length":"3.966","height":"0.981"},"speed":{"x":"1.009","y":"-1.855"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"5.132","y":"17.905"},{"x":"4.662","y":"16.976"},{"x":"8.382","y":"15.095"},{"x":"8.851","y":"16.024"}]}]}}
