[TRACE | 2021-01-11 14:07:04,907] | [start:2021-01-11 14:07:04.900]--[end:2021-01-11 14:07:04.904]:{"group_name":"pc","timestamp":"2021-01-09 15:41:13.814","up_info":{"obst_time":"1610178073814","obst_num":"2","obst_list":[{"target_id":"291","confidence":"24","type":"5","centre_pos":{"x":"-2.328","y":"-6.288","z":"0.805"},"boundingbox":{"width":"3.572","length":"1.491","height":"0.772"},"speed":{"x":"-1.239","y":"-0.164"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"-2.957","y":"-4.424"},{"x":"-3.218","y":"-7.967"},{"x":"-1.750","y":"-8.076"},{"x":"-1.489","y":"-4.532"}]},{"target_id":"306","confidence":"21","type":"5","centre_pos":{"x":"3.819","y":"13.493","z":"0.957"},"boundingbox":{"width":"0.798","length":"0.984","height":"0.917"},"speed":{"x":"-2.899","y":"-0.070"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"3.478","y":"13.954"},{"x":"3.055","y":"13.434"},{"x":"3.888","y":"12.757"},{"x":"4.311","y":"13.277"}]}]}}
[TRACE | 2021-01-11 14:07:05,031] | [start:2021-01-11 14:07:05.27]--[end:2021-01-11 14:07:05.31]:{"group_name":"pc","timestamp":"2021-01-09 15:41:13.956","up_info":{"obst_time":"1610178073956","obst_num":"2","obst_list":[{"target_id":"291","confidence":"25","type":"5","centre_pos":{"x":"-2.652","y":"-6.548","z":"0.897"},"boundingbox":{"width":"3.762","length":"1.618","height":"0.607"},"speed":{"x":"-1.278","y":"-0.246"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"-3.379","y":"-4.637"},{"x":"-3.644","y":"-8.314"},{"x":"-2.026","y":"-8.431"},{"x":"-1.761","y":"-4.753"}]},{"target_id":"306","confidence":"22","type":"5","centre_pos":{"x":"3.474","y":"13.476","z":"0.919"},"boundingbox":{"width":"0.797","length":"0.807","height":"0.825"},"speed":{"x":"-2.910","y":"-0.037"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"3.143","y":"13.875"},{"x":"2.819","y":"13.538"},{"x":"3.553","y":"12.831"},{"x":"3.878","y":"13.168"}]}]}}
[TRACE | 2021-01-11 14:07:05,141] | [start:2021-01-11 14:07:05.136]--[end:2021-01-11 14:07:05.141]:{"group_name":"pc","timestamp":"2021-01-09 15:41:14.56","up_info":{"obst_time":"1610178074056","obst_num":"2","obst_list":[{"target_id":"306","confidence":"23","type":"5","centre_pos":{"x":"3.396","y":"13.478","z":"0.939"},"boundingbox":{"width":"0.804","length":"0.917","height":"1.002"},"speed":{"x":"-2.778","y":"-0.107"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"2.988","y":"13.880"},{"x":"2.652","y":"13.391"},{"x":"3.519","y":"12.797"},{"x":"3.854","y":"13.286"}]},{"target_id":"291","confidence":"25","type":"5","centre_pos":{"x":"-2.780","y":"-6.573","z":"0.897"},"boundingbox":{"width":"3.762","length":"1.618","height":"0.607"},"speed":{"x":"-1.278","y":"-0.246"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"-3.379","y":"-4.637"},{"x":"-3.644","y":"-8.314"},{"x":"-2.026","y":"-8.431"},{"x":"-1.761","y":"-4.753"}]}]}}
[TRACE | 2021-01-11 14:07:05,261] | [start:2021-01-11 14:07:05.256]--[end:2021-01-11 14:07:05.261]:{"group_name":"pc","timestamp":"2021-01-09 15:41:14.156","up_info":{"obst_time":"1610178074156","obst_num":"2","obst_list":[{"target_id":"291","confidence":"26","type":"5","centre_pos":{"x":"-3.079","y":"-6.376","z":"0.703"},"boundingbox":{"width":"4.074","length":"1.637","height":"0.937"},"speed":{"x":"-1.571","y":"-0.060"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"-2.388","y":"-4.303"},{"x":"-3.990","y":"-4.434"},{"x":"-3.655","y":"-8.515"},{"x":"-2.053","y":"-8.383"}]},{"target_id":"306","confidence":"24","type":"5","centre_pos":{"x":"3.175","y":"13.456","z":"0.996"},"boundingbox":{"width":"0.814","length":"0.904","height":"0.924"},"speed":{"x":"-2.718","y":"-0.113"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"2.817","y":"13.863"},{"x":"2.469","y":"13.345"},{"x":"3.278","y":"12.801"},{"x":"3.627","y":"13.319"}]}]}}
[TRACE | 2021-01-11 14:07:05,391] | [start:2021-01-11 14:07:05.387]--[end:2021-01-11 14:07:05.391]:{"group_name":"pc","timestamp":"2021-01-09 15:41:14.314","up_info":{"obst_time":"1610178074314","obst_num":"3","obst_list":[{"target_id":"372","confidence":"6","type":"5","centre_pos":{"x":"10.433","y":"11.080","z":"0.856"},"boundingbox":{"width":"5.671","length":"2.901","height":"1.067"},"speed":{"x":"-1.959","y":"0.113"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"11.173","y":"14.181"},{"x":"8.817","y":"13.888"},{"x":"9.528","y":"8.164"},{"x":"11.884","y":"8.456"}]},{"target_id":"291","confidence":"26","type":"5","centre_pos":{"x":"-3.236","y":"-6.382","z":"0.703"},"boundingbox":{"width":"4.074","length":"1.637","height":"0.937"},"speed":{"x":"-1.571","y":"-0.060"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"-2.388","y":"-4.303"},{"x":"-3.990","y":"-4.434"},{"x":"-3.655","y":"-8.515"},{"x":"-2.053","y":"-8.383"}]},{"target_id":"306","confidence":"24","type":"5","centre_pos":{"x":"2.903","y":"13.445","z":"0.996"},"boundingbox":{"width":"0.814","length":"0.904","height":"0.924"},"speed":{"x":"-2.718","y":"-0.113"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"2.817","y":"13.863"},{"x":"2.469","y":"13.345"},{"x":"3.278","y":"12.801"},{"x":"3.627","y":"13.319"}]}]}}
[TRACE | 2021-01-11 14:07:05,523] | [start:2021-01-11 14:07:05.520]--[end:2021-01-11 14:07:05.523]:{"group_name":"pc","timestamp":"2021-01-09 15:41:14.456","up_info":{"obst_time":"1610178074456","obst_num":"4","obst_list":[{"target_id":"373","confidence":"6","type":"5","centre_pos":{"x":"-0.436","y":"-5.860","z":"0.746"},"boundingbox":{"width":"3.548","length":"2.810","height":"1.021"},"speed":{"x":"-1.960","y":"-0.064"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"-1.797","y":"-4.016"},{"x":"-2.066","y":"-7.491"},{"x":"0.773","y":"-7.711"},{"x":"1.042","y":"-4.236"}]},{"target_id":"372","confidence":"7","type":"5","centre_pos":{"x":"10.169","y":"11.038","z":"0.908"},"boundingbox":{"width":"5.687","length":"2.699","height":"0.830"},"speed":{"x":"-2.118","y":"-0.014"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"10.798","y":"14.120"},{"x":"8.617","y":"13.842"},{"x":"9.340","y":"8.172"},{"x":"11.521","y":"8.450"}]},{"target_id":"291","confidence":"26","type":"5","centre_pos":{"x":"-3.394","y":"-6.388","z":"0.703"},"boundingbox":{"width":"4.074","length":"1.637","height":"0.937"},"speed":{"x":"-1.571","y":"-0.060"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"-2.388","y":"-4.303"},{"x":"-3.990","y":"-4.434"},{"x":"-3.655","y":"-8.515"},{"x":"-2.053","y":"-8.383"}]},{"target_id":"306","confidence":"24","type":"5","centre_pos":{"x":"2.631","y":"13.434","z":"0.996"},"boundingbox":{"width":"0.814","length":"0.904","height":"0.924"},"speed":{"x":"-2.718","y":"-0.113"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"2.817","y":"13.863"},{"x":"2.469","y":"13.345"},{"x":"3.278","y":"12.801"},{"x":"3.627","y":"13.319"}]}]}}
[TRACE | 2021-01-11 14:07:05,645] | [start:2021-01-11 14:07:05.641]--[end:2021-01-11 14:07:05.645]:{"group_name":"pc","timestamp":"2021-01-09 15:41:14.556","up_info":{"obst_time":"1610178074556","obst_num":"4","obst_list":[{"target_id":"373","confidence":"7","type":"5","centre_pos":{"x":"-0.188","y":"-5.829","z":"0.737"},"boundingbox":{"width":"3.390","length":"3.644","height":"1.033"},"speed":{"x":"-1.385","y":"-0.335"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"0.553","y":"-3.339"},{"x":"-2.483","y":"-4.508"},{"x":"-1.205","y":"-7.824"},{"x":"1.830","y":"-6.654"}]},{"target_id":"372","confidence":"8","type":"5","centre_pos":{"x":"9.945","y":"11.029","z":"0.827"},"boundingbox":{"width":"5.679","length":"2.606","height":"0.913"},"speed":{"x":"-2.188","y":"-0.077"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"10.531","y":"14.103"},{"x":"8.416","y":"13.834"},{"x":"9.137","y":"8.164"},{"x":"11.251","y":"8.433"}]},{"target_id":"291","confidence":"26","type":"5","centre_pos":{"x":"-3.551","y":"-6.394","z":"0.703"},"boundingbox":{"width":"4.074","length":"1.637","height":"0.937"},"speed":{"x":"-1.571","y":"-0.060"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"-2.388","y":"-4.303"},{"x":"-3.990","y":"-4.434"},{"x":"-3.655","y":"-8.515"},{"x":"-2.053","y":"-8.383"}]},{"target_id":"306","confidence":"24","type":"5","centre_pos":{"x":"2.359","y":"13.422","z":"0.996"},"boundingbox":{"width":"0.814","length":"0.904","height":"0.924"},"speed":{"x":"-2.718","y":"-0.113"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"2.817","y":"13.863"},{"x":"2.469","y":"13.345"},{"x":"3.278","y":"12.801"},{"x":"3.627","y":"13.319"}]}]}}
[TRACE | 2021-01-11 14:07:05,767] | [start:2021-01-11 14:07:05.763]--[end:2021-01-11 14:07:05.767]:{"group_name":"pc","timestamp":"2021-01-09 15:41:14.713","up_info":{"obst_time":"1610178074713","obst_num":"4","obst_list":[{"target_id":"372","confidence":"9","type":"5","centre_pos":{"x":"9.708","y":"11.034","z":"0.915"},"boundingbox":{"width":"5.708","length":"2.891","height":"1.147"},"speed":{"x":"-2.244","y":"-0.082"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"10.452","y":"14.156"},{"x":"8.073","y":"13.865"},{"x":"8.776","y":"8.103"},{"x":"11.155","y":"8.393"}]},{"target_id":"373","confidence":"8","type":"5","centre_pos":{"x":"-0.494","y":"-6.139","z":"0.726"},"boundingbox":{"width":"3.965","length":"3.605","height":"0.991"},"speed":{"x":"-1.449","y":"-0.594"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"-0.359","y":"-2.826"},{"x":"-3.321","y":"-5.711"},{"x":"-0.973","y":"-8.121"},{"x":"1.988","y":"-5.237"}]},{"target_id":"306","confidence":"25","type":"5","centre_pos":{"x":"2.135","y":"13.374","z":"1.026"},"boundingbox":{"width":"0.728","length":"1.005","height":"0.992"},"speed":{"x":"-3.125","y":"0.155"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"1.857","y":"13.757"},{"x":"1.521","y":"13.261"},{"x":"2.302","y":"12.731"},{"x":"2.638","y":"13.226"}]},{"target_id":"291","confidence":"26","type":"5","centre_pos":{"x":"-3.708","y":"-6.401","z":"0.703"},"boundingbox":{"width":"4.074","length":"1.637","height":"0.937"},"speed":{"x":"-1.571","y":"-0.060"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"-2.388","y":"-4.303"},{"x":"-3.990","y":"-4.434"},{"x":"-3.655","y":"-8.515"},{"x":"-2.053","y":"-8.383"}]}]}}
[TRACE | 2021-01-11 14:07:05,895] | [start:2021-01-11 14:07:05.891]--[end:2021-01-11 14:07:05.895]:{"group_name":"pc","timestamp":"2021-01-09 15:41:14.813","up_info":{"obst_time":"1610178074813","obst_num":"4","obst_list":[{"target_id":"372","confidence":"10","type":"5","centre_pos":{"x":"9.566","y":"10.038","z":"0.887"},"boundingbox":{"width":"3.731","length":"2.950","height":"1.030"},"speed":{"x":"-1.787","y":"-1.174"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"10.598","y":"12.184"},{"x":"8.091","y":"11.887"},{"x":"8.539","y":"8.105"},{"x":"11.046","y":"8.402"}]},{"target_id":"306","confidence":"26","type":"5","centre_pos":{"x":"1.887","y":"13.413","z":"0.966"},"boundingbox":{"width":"0.832","length":"0.776","height":"0.960"},"speed":{"x":"-3.145","y":"0.095"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"1.706","y":"13.836"},{"x":"1.230","y":"13.467"},{"x":"1.801","y":"12.730"},{"x":"2.277","y":"13.099"}]},{"target_id":"373","confidence":"8","type":"5","centre_pos":{"x":"-0.639","y":"-6.198","z":"0.726"},"boundingbox":{"width":"3.965","length":"3.605","height":"0.991"},"speed":{"x":"-1.449","y":"-0.594"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"-0.359","y":"-2.826"},{"x":"-3.321","y":"-5.711"},{"x":"-0.973","y":"-8.121"},{"x":"1.988","y":"-5.237"}]},{"target_id":"291","confidence":"26","type":"5","centre_pos":{"x":"-3.865","y":"-6.407","z":"0.703"},"boundingbox":{"width":"4.074","length":"1.637","height":"0.937"},"speed":{"x":"-1.571","y":"-0.060"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"-2.388","y":"-4.303"},{"x":"-3.990","y":"-4.434"},{"x":"-3.655","y":"-8.515"},{"x":"-2.053","y":"-8.383"}]}]}}
[TRACE | 2021-01-11 14:07:06,022] | [start:2021-01-11 14:07:06.19]--[end:2021-01-11 14:07:06.22]:{"group_name":"pc","timestamp":"2021-01-09 15:41:14.956","up_info":{"obst_time":"1610178074956","obst_num":"3","obst_list":[{"target_id":"372","confidence":"10","type":"5","centre_pos":{"x":"9.388","y":"9.920","z":"0.887"},"boundingbox":{"width":"3.731","length":"2.950","height":"1.030"},"speed":{"x":"-1.787","y":"-1.174"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"10.598","y":"12.184"},{"x":"8.091","y":"11.887"},{"x":"8.539","y":"8.105"},{"x":"11.046","y":"8.402"}]},{"target_id":"306","confidence":"26","type":"5","centre_pos":{"x":"1.573","y":"13.423","z":"0.966"},"boundingbox":{"width":"0.832","length":"0.776","height":"0.960"},"speed":{"x":"-3.145","y":"0.095"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"1.706","y":"13.836"},{"x":"1.230","y":"13.467"},{"x":"1.801","y":"12.730"},{"x":"2.277","y":"13.099"}]},{"target_id":"373","confidence":"8","type":"5","centre_pos":{"x":"-0.784","y":"-6.257","z":"0.726"},"boundingbox":{"width":"3.965","length":"3.605","height":"0.991"},"speed":{"x":"-1.449","y":"-0.594"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"-0.359","y":"-2.826"},{"x":"-3.321","y":"-5.711"},{"x":"-0.973","y":"-8.121"},{"x":"1.988","y":"-5.237"}]}]}}
[TRACE | 2021-01-11 14:07:06,155] | [start:2021-01-11 14:07:06.151]--[end:2021-01-11 14:07:06.155]:{"group_name":"pc","timestamp":"2021-01-09 15:41:15.56","up_info":{"obst_time":"1610178075056","obst_num":"3","obst_list":[{"target_id":"306","confidence":"27","type":"5","centre_pos":{"x":"1.336","y":"13.339","z":"1.009"},"boundingbox":{"width":"0.707","length":"0.706","height":"0.877"},"speed":{"x":"-3.280","y":"0.108"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"1.041","y":"13.693"},{"x":"0.742","y":"13.389"},{"x":"1.398","y":"12.742"},{"x":"1.697","y":"13.045"}]},{"target_id":"372","confidence":"10","type":"5","centre_pos":{"x":"9.209","y":"9.803","z":"0.887"},"boundingbox":{"width":"3.731","length":"2.950","height":"1.030"},"speed":{"x":"-1.787","y":"-1.174"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"10.598","y":"12.184"},{"x":"8.091","y":"11.887"},{"x":"8.539","y":"8.105"},{"x":"11.046","y":"8.402"}]},{"target_id":"373","confidence":"8","type":"5","centre_pos":{"x":"-0.929","y":"-6.317","z":"0.726"},"boundingbox":{"width":"3.965","length":"3.605","height":"0.991"},"speed":{"x":"-1.449","y":"-0.594"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"-0.359","y":"-2.826"},{"x":"-3.321","y":"-5.711"},{"x":"-0.973","y":"-8.121"},{"x":"1.988","y":"-5.237"}]}]}}
