[TRACE | 2021-01-11 14:12:54,098] | [start:2021-01-11 14:12:54.87]--[end:2021-01-11 14:12:54.93]:{"group_name":"pc","timestamp":"2021-01-09 15:40:37.734","up_info":{"obst_time":"1610178037734","obst_num":"2","obst_list":[{"target_id":"401","confidence":"15","type":"5","centre_pos":{"x":"6.511","y":"11.319","z":"0.967"},"boundingbox":{"width":"3.092","length":"1.888","height":"0.757"},"speed":{"x":"-3.483","y":"0.027"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"7.064","y":"12.994"},{"x":"5.362","y":"12.781"},{"x":"5.758","y":"9.605"},{"x":"7.460","y":"9.817"}]},{"target_id":"398","confidence":"22","type":"5","centre_pos":{"x":"-8.285","y":"11.027","z":"0.773"},"boundingbox":{"width":"4.082","length":"1.669","height":"0.696"},"speed":{"x":"-2.267","y":"0.070"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"-8.601","y":"13.208"},{"x":"-9.146","y":"9.061"},{"x":"-7.591","y":"8.856"},{"x":"-7.045","y":"13.004"}]}]}}
[TRACE | 2021-01-11 14:12:54,203] | [start:2021-01-11 14:12:54.198]--[end:2021-01-11 14:12:54.203]:{"group_name":"pc","timestamp":"2021-01-09 15:40:37.876","up_info":{"obst_time":"1610178037876","obst_num":"2","obst_list":[{"target_id":"398","confidence":"23","type":"5","centre_pos":{"x":"-8.387","y":"11.074","z":"0.817"},"boundingbox":{"width":"4.061","length":"1.007","height":"0.590"},"speed":{"x":"-2.200","y":"0.053"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"-7.920","y":"13.105"},{"x":"-8.904","y":"9.073"},{"x":"-8.082","y":"8.873"},{"x":"-7.098","y":"12.904"}]},{"target_id":"401","confidence":"15","type":"5","centre_pos":{"x":"6.162","y":"11.322","z":"0.967"},"boundingbox":{"width":"3.092","length":"1.888","height":"0.757"},"speed":{"x":"-3.483","y":"0.027"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"7.064","y":"12.994"},{"x":"5.362","y":"12.781"},{"x":"5.758","y":"9.605"},{"x":"7.460","y":"9.817"}]}]}}
[TRACE | 2021-01-11 14:12:54,322] | [start:2021-01-11 14:12:54.318]--[end:2021-01-11 14:12:54.322]:{"group_name":"pc","timestamp":"2021-01-09 15:40:37.976","up_info":{"obst_time":"1610178037976","obst_num":"2","obst_list":[{"target_id":"398","confidence":"24","type":"5","centre_pos":{"x":"-8.841","y":"10.968","z":"0.747"},"boundingbox":{"width":"3.952","length":"1.555","height":"0.708"},"speed":{"x":"-2.280","y":"0.093"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"-8.109","y":"12.944"},{"x":"-9.807","y":"9.205"},{"x":"-8.490","y":"8.607"},{"x":"-6.792","y":"12.346"}]},{"target_id":"401","confidence":"15","type":"5","centre_pos":{"x":"5.814","y":"11.325","z":"0.967"},"boundingbox":{"width":"3.092","length":"1.888","height":"0.757"},"speed":{"x":"-3.483","y":"0.027"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"7.064","y":"12.994"},{"x":"5.362","y":"12.781"},{"x":"5.758","y":"9.605"},{"x":"7.460","y":"9.817"}]}]}}
[TRACE | 2021-01-11 14:12:54,447] | [start:2021-01-11 14:12:54.444]--[end:2021-01-11 14:12:54.447]:{"group_name":"pc","timestamp":"2021-01-09 15:40:38.76","up_info":{"obst_time":"1610178038076","obst_num":"2","obst_list":[{"target_id":"398","confidence":"25","type":"5","centre_pos":{"x":"-9.038","y":"10.930","z":"0.750"},"boundingbox":{"width":"3.945","length":"1.541","height":"0.709"},"speed":{"x":"-2.257","y":"0.040"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"-8.329","y":"12.903"},{"x":"-9.848","y":"9.120"},{"x":"-8.654","y":"8.641"},{"x":"-7.135","y":"12.423"}]},{"target_id":"401","confidence":"15","type":"5","centre_pos":{"x":"5.466","y":"11.327","z":"0.967"},"boundingbox":{"width":"3.092","length":"1.888","height":"0.757"},"speed":{"x":"-3.483","y":"0.027"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"7.064","y":"12.994"},{"x":"5.362","y":"12.781"},{"x":"5.758","y":"9.605"},{"x":"7.460","y":"9.817"}]}]}}
[TRACE | 2021-01-11 14:12:54,569] | [start:2021-01-11 14:12:54.564]--[end:2021-01-11 14:12:54.569]:{"group_name":"pc","timestamp":"2021-01-09 15:40:38.233","up_info":{"obst_time":"1610178038233","obst_num":"2","obst_list":[{"target_id":"398","confidence":"26","type":"5","centre_pos":{"x":"-9.281","y":"11.083","z":"0.796"},"boundingbox":{"width":"4.115","length":"1.593","height":"0.616"},"speed":{"x":"-2.336","y":"0.123"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"-8.534","y":"13.140"},{"x":"-10.102","y":"9.210"},{"x":"-8.838","y":"8.706"},{"x":"-7.270","y":"12.636"}]},{"target_id":"401","confidence":"15","type":"5","centre_pos":{"x":"5.117","y":"11.330","z":"0.967"},"boundingbox":{"width":"3.092","length":"1.888","height":"0.757"},"speed":{"x":"-3.483","y":"0.027"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"7.064","y":"12.994"},{"x":"5.362","y":"12.781"},{"x":"5.758","y":"9.605"},{"x":"7.460","y":"9.817"}]}]}}
[TRACE | 2021-01-11 14:12:54,686] | [start:2021-01-11 14:12:54.683]--[end:2021-01-11 14:12:54.686]:{"group_name":"pc","timestamp":"2021-01-09 15:40:38.376","up_info":{"obst_time":"1610178038376","obst_num":"1","obst_list":[{"target_id":"398","confidence":"27","type":"5","centre_pos":{"x":"-9.637","y":"10.898","z":"0.630"},"boundingbox":{"width":"3.883","length":"1.581","height":"0.731"},"speed":{"x":"-2.330","y":"0.056"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"-10.361","y":"12.876"},{"x":"-10.455","y":"8.972"},{"x":"-8.921","y":"8.935"},{"x":"-8.826","y":"12.839"}]}]}}
[TRACE | 2021-01-11 14:12:54,806] | [start:2021-01-11 14:12:54.803]--[end:2021-01-11 14:12:54.806]:{"group_name":"pc","timestamp":"2021-01-09 15:40:38.476","up_info":{"obst_time":"1610178038476","obst_num":"1","obst_list":[{"target_id":"398","confidence":"28","type":"5","centre_pos":{"x":"-9.497","y":"10.944","z":"0.659"},"boundingbox":{"width":"3.889","length":"0.849","height":"0.668"},"speed":{"x":"-2.150","y":"-0.084"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"-9.101","y":"12.888"},{"x":"-9.976","y":"9.036"},{"x":"-9.264","y":"8.875"},{"x":"-8.389","y":"12.727"}]}]}}
[TRACE | 2021-01-11 14:12:54,925] | [start:2021-01-11 14:12:54.922]--[end:2021-01-11 14:12:54.925]:{"group_name":"pc","timestamp":"2021-01-09 15:40:38.576","up_info":{"obst_time":"1610178038576","obst_num":"1","obst_list":[{"target_id":"398","confidence":"29","type":"5","centre_pos":{"x":"-10.010","y":"11.037","z":"0.690"},"boundingbox":{"width":"4.100","length":"1.393","height":"0.628"},"speed":{"x":"-2.348","y":"0.101"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"-9.362","y":"13.087"},{"x":"-10.707","y":"9.220"},{"x":"-9.570","y":"8.824"},{"x":"-8.224","y":"12.691"}]}]}}
[TRACE | 2021-01-11 14:12:55,043] | [start:2021-01-11 14:12:55.39]--[end:2021-01-11 14:12:55.43]:{"group_name":"pc","timestamp":"2021-01-09 15:40:38.733","up_info":{"obst_time":"1610178038733","obst_num":"1","obst_list":[{"target_id":"398","confidence":"30","type":"5","centre_pos":{"x":"-10.298","y":"10.928","z":"0.652"},"boundingbox":{"width":"3.921","length":"1.466","height":"0.647"},"speed":{"x":"-2.337","y":"0.049"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"-9.592","y":"12.888"},{"x":"-11.134","y":"9.105"},{"x":"-9.906","y":"8.605"},{"x":"-8.364","y":"12.387"}]}]}}
[TRACE | 2021-01-11 14:12:55,163] | [start:2021-01-11 14:12:55.158]--[end:2021-01-11 14:12:55.163]:{"group_name":"pc","timestamp":"2021-01-09 15:40:38.833","up_info":{"obst_time":"1610178038833","obst_num":"1","obst_list":[{"target_id":"398","confidence":"31","type":"5","centre_pos":{"x":"-10.437","y":"10.998","z":"0.674"},"boundingbox":{"width":"4.067","length":"1.338","height":"0.657"},"speed":{"x":"-2.323","y":"0.035"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"-9.801","y":"13.032"},{"x":"-11.157","y":"9.073"},{"x":"-10.043","y":"8.690"},{"x":"-8.686","y":"12.649"}]}]}}
[TRACE | 2021-01-11 14:12:55,280] | [start:2021-01-11 14:12:55.276]--[end:2021-01-11 14:12:55.280]:{"group_name":"pc","timestamp":"2021-01-09 15:40:38.933","up_info":{"obst_time":"1610178038933","obst_num":"2","obst_list":[{"target_id":"476","confidence":"6","type":"5","centre_pos":{"x":"0.297","y":"11.130","z":"0.910"},"boundingbox":{"width":"3.607","length":"4.270","height":"1.291"},"speed":{"x":"-1.603","y":"0.050"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"1.174","y":"13.070"},{"x":"-2.572","y":"11.620"},{"x":"-1.295","y":"8.319"},{"x":"2.451","y":"9.769"}]},{"target_id":"398","confidence":"31","type":"5","centre_pos":{"x":"-10.670","y":"11.002","z":"0.674"},"boundingbox":{"width":"4.067","length":"1.338","height":"0.657"},"speed":{"x":"-2.323","y":"0.035"},"acceleration":{"x":"0","y":"0"},"angular_speed":"0.00","angular_acceleration":"0.00","cut":"0","polygon_vertex":[{"x":"-9.801","y":"13.032"},{"x":"-11.157","y":"9.073"},{"x":"-10.043","y":"8.690"},{"x":"-8.686","y":"12.649"}]}]}}
